ID,geneProtein_label,therapy_label,disease_label,drug_label,NDCCode_label,negGeProDr_label,firstLine,acceleratedApproval,metastatic
34,*,Atezolizumab and Hyaluronidase-tqjs,Alveolar soft part sarcoma,TECENTRIQ HYBREZA- atezolizumab and hyaluronidase-tqjs injection,"50242-933-01, 50242-933-86",,,,Yes
35,"EGFR, TC, PD-L1, tumor-infiltrating immune cells [IC, ALK",Atezolizumab and Hyaluronidase-tqjs,Non-small cell lung cancer,TECENTRIQ HYBREZA- atezolizumab and hyaluronidase-tqjs injection,"50242-933-01, 50242-933-86",,Yes,,Yes
36,"EGFR, TC, TECENTRIQ, PD-L1, tumor-infiltrating immune cells [IC, ALK",Atezolizumab and Hyaluronidase-tqjs,Small cell lung cancer,TECENTRIQ HYBREZA- atezolizumab and hyaluronidase-tqjs injection,"50242-933-01, 50242-933-86",,Yes,,Yes
37,*,Atezolizumab and Hyaluronidase-tqjs,Hepatocellular carcinoma,TECENTRIQ HYBREZA- atezolizumab and hyaluronidase-tqjs injection,"50242-933-01, 50242-933-86",,,,Yes
38,"PDGFRA, platelet-derived growth factor receptor alpha",Avapritinib,Gastrointestinal stromal tumor,"AYVAKIT- avapritinib tablet, film coated","72064-110-30, 72064-120-30, 72064-125-30, 72064-130-30, 72064-150-30",,,,Yes
39,AdvSM,Avapritinib,Systemic mastocytosis,"AYVAKIT- avapritinib tablet, film coated","72064-110-30, 72064-120-30, 72064-125-30, 72064-130-30, 72064-150-30",,,,Yes
40,BAVENCIO,Avelumab,Merkel cell carcinoma,"BAVENCIO- avelumab injection, solution, concentrate",44087-3535-1,,,,Yes
41,BAVENCIO,Avelumab,Renal cell carcinoma,"BAVENCIO- avelumab injection, solution, concentrate",44087-3535-1,,Yes,,Yes
42,*,Avelumab,Urothelial cancer,"BAVENCIO- avelumab injection, solution, concentrate",44087-3535-1,,,,
43,*,Axicabtagene Ciloleucel,B-cell non-Hodgkin lymphoma,YESCARTA- axicabtagene ciloleucel suspension,"71287-119-01, 71287-119-02",,,,
44,*,Axicabtagene Ciloleucel,DLBCL,YESCARTA- axicabtagene ciloleucel suspension,"71287-119-01, 71287-119-02",,,,
45,*,Axitinib,Renal cell carcinoma,,,,,,
46,*,Azacitidine,Myelodysplastic syndromes,,,,,,
47,*,Azacitidine,Acute myeloid leukemia,,,,,,
48,*,Belinostat,Peripheral T-cell lymphoma,,,,,,
49,*,Belzutifan,Renal Cell Carcinoma,"WELIREG- belzutifan tablet, film coated","0006-5331-01, 0006-5331-58, 0006-5331-59",,,,
50,*,Belzutifan,von Hippel-Lindau disease,"WELIREG- belzutifan tablet, film coated","0006-5331-01, 0006-5331-58, 0006-5331-59",,,,
51,*,Bendamustine Hydrochloride,Chronic lymphocytic leukemia,,,,,,
52,*,Bendamustine Hydrochloride,B-cell non-Hodgkin lymphoma,,,,,,
53,*,Bevacizumab,Ovarian epithelial,,,,,,
54,*,Bevacizumab,Cervical cancer,,,,,,
55,*,Bevacizumab,Renal cell carcinoma,,,,,,
56,*,Bevacizumab,Nonsquamous non-small cell lung cancer,,,,,,
57,*,Bevacizumab,primary peritoneal cancer,,,,,,
58,*,Bevacizumab,fallopian tube,,,,,,
59,*,Bevacizumab,Glioblastoma,,,,,,
60,*,Bevacizumab,Colorectal cancer,,,,,,
61,*,Bevacizumab,Hepatocellular carcinoma,,,,,,
62,*,Bexarotene,Skin problems caused by cutaneous T-cell lymphoma,,,,,,
63,*,Bicalutamide,Prostate cancer,,,,,,
64,*,Binimetinib,Non-small cell lung cancer,"MEKTOVI- binimetinib tablet, film coated","70255-010-02, 70255-010-03",,,,
65,*,Binimetinib,Melanoma,"MEKTOVI- binimetinib tablet, film coated","70255-010-02, 70255-010-03",,,,
66,*,Bleomycin Sulfate,Squamous cell carcinoma of the head and neck,,,,,,
67,*,Bleomycin Sulfate,Squamous cell carcinoma of the cervix,,,,,,
68,*,Bleomycin Sulfate,Hodgkin lymphoma,,,,,,
69,*,Bleomycin Sulfate,Squamous cell carcinoma of the penis,,,,,,
70,*,Bleomycin Sulfate,Squamous cell carcinoma of the vulva,,,,,,
71,*,Bleomycin Sulfate,Non-Hodgkin lymphoma,,,,,,
72,*,Bleomycin Sulfate,Testicular cancer,,,,,,
73,*,Blinatumomab,B-cell acute lymphoblastic leukemia,BLINCYTO- blinatumomab kit,"55513-150-01, 55513-155-01, 55513-160-01, 55513-160-21",,,,
74,*,Bortezomib,Multiple myeloma,,,,,,
75,*,Bortezomib,Mantle cell lymphoma,,,,,,
76,*,Bosutinib,Chronic myelogenous leukemia,,,,,,
77,*,Brentuximab Vedotin,high-grade B-cell lymphoma,"ADCETRIS- brentuximab vedotin injection, powder, lyophilized, for solution",51144-050-01,,,,
78,NOS,Brentuximab Vedotin,Peripheral T-cell lymphoma,"ADCETRIS- brentuximab vedotin injection, powder, lyophilized, for solution",51144-050-01,,Yes,,
79,*,Brentuximab Vedotin,ClassicHodgkinlymphoma.,"ADCETRIS- brentuximab vedotin injection, powder, lyophilized, for solution",51144-050-01,,,,
80,NOS,Brentuximab Vedotin,Anaplastic large cell lymphoma,"ADCETRIS- brentuximab vedotin injection, powder, lyophilized, for solution",51144-050-01,,Yes,,
81,*,Brentuximab Vedotin,Cutaneous anaplastic large cell lymphoma,"ADCETRIS- brentuximab vedotin injection, powder, lyophilized, for solution",51144-050-01,,,,
82,*,Brentuximab Vedotin,Diffuse large B-cell lymphoma,"ADCETRIS- brentuximab vedotin injection, powder, lyophilized, for solution",51144-050-01,,,,
83,*,Brentuximab Vedotin,Mycosis fungoides,"ADCETRIS- brentuximab vedotin injection, powder, lyophilized, for solution",51144-050-01,,,,
84,*,Brexucabtagene Autoleucel,mantle cell lymphoma,TECARTUS- brexucabtagene autoleucel suspension,"71287-219-01, 71287-219-02, 71287-220-01, 71287-220-02",,,,
85,*,Brexucabtagene Autoleucel,precursor B lymphoblastic leukemia,TECARTUS- brexucabtagene autoleucel suspension,"71287-219-01, 71287-219-02, 71287-220-01, 71287-220-02",,,,
86,*,Brigatinib,Non-small cell lung cancer,"ALUNBRIG- brigatinib tablet, film coated","63020-090-07, 63020-090-30, 63020-113-30, 63020-180-23, 63020-180-30, 63020-198-30",,,,
87,*,Busulfan,Chronic myelogenous leukemia,,,,,,
88,*,Cabazitaxel,Prostate cancer,JEVTANA- cabazitaxel kit,"0024-5822-01, 0024-5823-15, 0024-5824-11",,,,
89,*,Cabozantinib-S-Malate,Renal cell carcinoma,,,,,,
90,*,Cabozantinib-S-Malate,Differentiated thyroid cancer,,,,,,
91,*,Cabozantinib-S-Malate,Medullary thyroid cancer,,,,,,
92,*,Cabozantinib-S-Malate,Neuroendocrine tumor,,,,,,
93,*,Cabozantinib-S-Malate,Hepatocellular carcinoma,,,,,,
94,*,Capecitabine,gastroesophageal junction cancer,,,,,,
95,*,Capecitabine,esophageal cancer,,,,,,
96,*,Capecitabine,Breast cancer,,,,,,
97,*,Capecitabine,Pancreatic adenocarcinoma,,,,,,
98,*,Capecitabine,Colorectal cancer,,,,,,
99,*,Capecitabine,Stomach (gastric) cancer,,,,,,
100,*,Capivasertib,Breast cancer,"TRUQAP- capivasertib tablet, film coated","0310-9500-01, 0310-9500-02, 0310-9501-01, 0310-9501-02, 0310-9501-95, 0310-9501-96",,,,
101,*,Caplacizumab-yhdp,Acquired thrombotic thrombocytopenic purpura,CABLIVI- caplacizumab kit,"58468-0225-1, 58468-0227-1, 58468-0229-1",,,,
102,*,Capmatinib Hydrochloride,Non-small cell lung cancer,"TABRECTA- capmatinib tablet, film coated","0078-0709-56, 0078-0709-94, 0078-0716-56, 0078-0716-94",,,,
103,*,Carboplatin,Ovarian cancer,,,,,,
104,*,Carfilzomib,Multiple myeloma,"KYPROLIS- carfilzomib injection, powder, lyophilized, for solution","76075-101-01, 76075-101-21, 76075-102-01, 76075-102-21, 76075-103-01, 76075-103-21",,,,
105,*,Carmustine,Brain tumors,,,,,,
106,*,Carmustine,Multiple myeloma,,,,,,
107,*,Carmustine,Hodgkin lymphoma,,,,,,
108,*,Carmustine,Non-Hodgkin lymphoma,,,,,,
109,*,Carmustine Implant,Malignant glioma,GLIADEL- carmustine wafer,24338-050-08,,,,
110,*,Carmustine Implant,Glioblastoma multiforme,GLIADEL- carmustine wafer,24338-050-08,,,,
111,"EGFR, PD-L1, ROS1, LIBTAYO, ALK",Cemiplimab-rwlc,Non-small cell lung cancer,LIBTAYO- cemiplimab-rwlc injection,61755-008-01,,Yes,,Yes
112,LIBTAYO,Cemiplimab-rwlc,Cutaneous squamous cell carcinoma,LIBTAYO- cemiplimab-rwlc injection,61755-008-01,,,,Yes
113,*,Cemiplimab-rwlc,(BCC),LIBTAYO- cemiplimab-rwlc injection,61755-008-01,,,,
114,"LIBTAYO, hedgehog",Cemiplimab-rwlc,Basal cell carcinoma,LIBTAYO- cemiplimab-rwlc injection,61755-008-01,,,,Yes
115,*,Ceritinib,Non-small cell lung cancer,"ZYKADIA- ceritinib tablet, film coated","0078-0694-48, 0078-0694-84",,,,
116,*,Cetuximab,Squamous cell carcinoma of the head and neck,ERBITUX- cetuximab solution,"66733-948-23, 66733-958-23",,Yes,,Yes
