ID,geneProtein_label,therapy_label,disease_label,drug_label,NDCCode_label,negGeProDr_label,firstLine,acceleratedApproval,metastatic
442,*,Obinutuzumab,Chronic lymphocytic leukemia,"GAZYVA- obinutuzumab injection, solution, concentrate","50242-070-01, 50242-070-86",,Yes,,
443,*,Obinutuzumab,Follicular lymphoma,"GAZYVA- obinutuzumab injection, solution, concentrate","50242-070-01, 50242-070-86",,Yes,,
444,*,Ofatumumab,Chronic lymphocytic leukemia,,,,,,
445,Lynparza,Olaparib,Prostate cancer,"LYNPARZA- olaparib tablet, film coated","0310-0569-12, 0310-0569-60, 0310-0578-12, 0310-0578-60, 0310-0668-12, 0310-0668-60, 0310-0668-95, 0310-0679-12, 0310-0679-60, 0310-0679-95",,,,Yes
446,*,Olaparib,Pancreatic cancer,"LYNPARZA- olaparib tablet, film coated","0310-0569-12, 0310-0569-60, 0310-0578-12, 0310-0578-60, 0310-0668-12, 0310-0668-60, 0310-0668-95, 0310-0679-12, 0310-0679-60, 0310-0679-95",,,,
447,*,Olaparib,Ovarian epithelial,"LYNPARZA- olaparib tablet, film coated","0310-0569-12, 0310-0569-60, 0310-0578-12, 0310-0578-60, 0310-0668-12, 0310-0668-60, 0310-0668-95, 0310-0679-12, 0310-0679-60, 0310-0679-95",,,,
448,*,Olaparib,primary peritoneal cancer,"LYNPARZA- olaparib tablet, film coated","0310-0569-12, 0310-0569-60, 0310-0578-12, 0310-0578-60, 0310-0668-12, 0310-0668-60, 0310-0668-95, 0310-0679-12, 0310-0679-60, 0310-0679-95",,,,
449,*,Olaparib,Breast cancer,"LYNPARZA- olaparib tablet, film coated","0310-0569-12, 0310-0569-60, 0310-0578-12, 0310-0578-60, 0310-0668-12, 0310-0668-60, 0310-0668-95, 0310-0679-12, 0310-0679-60, 0310-0679-95",,,,
450,*,Olaparib,fallopian tube,"LYNPARZA- olaparib tablet, film coated","0310-0569-12, 0310-0569-60, 0310-0578-12, 0310-0578-60, 0310-0668-12, 0310-0668-60, 0310-0668-95, 0310-0679-12, 0310-0679-60, 0310-0679-95",,,,
451,*,Olutasidenib,Acute myeloid leukemia,REZLIDHIA- olutasidenib capsule,71332-005-01,,,,
452,*,Omacetaxine Mepesuccinate,Chronic myelogenous leukemia,,,,,,
453,*,Ondansetron Hydrochloride,Nausea,,,,,,
454,*,Ondansetron Hydrochloride,vomiting,,,,,,
455,EGFR,Osimertinib Mesylate,Non-small cell lung cancer,"TAGRISSO- osimertinib tablet, film coated","0310-1248-30, 0310-1251-30, 0310-1349-30, 0310-1350-30, 0310-1350-95, 0310-1350-99",,,,
456,*,Oxaliplatin,Colorectal cancer,,,,,,
457,*,Oxaliplatin,Stage III colon cancer,,,,,,
458,*,Paclitaxel,Non-small cell lung cancer,,,,,,
459,*,Paclitaxel,Ovarian cancer,,,,,,
460,*,Paclitaxel,Breast cancer,,,,,,
461,*,Paclitaxel,AIDS-related Kaposi sarcoma,,,,,,
462,*,Pacritinib Citrate,Myelofibrosis,VONJO- pacritinib capsule,72482-100-12,,,,
463,*,Palbociclib,Breast cancer,IBRANCE- palbociclib capsule,"0069-0187-21, 0069-0188-21, 0069-0189-21",,,,
464,*,Palifermin,Oral mucositis,"KEPIVANCE- palifermin injection, powder, lyophilized, for solution","66658-113-01, 66658-113-03",,,,
465,*,Palonosetron Hydrochloride,Nausea,,,,,,
466,*,Palonosetron Hydrochloride,vomiting,,,,,,
467,*,Pamidronate Disodium,hypercalcemia,,,,,,
468,*,Pamidronate Disodium,multiple myeloma,,,,,,
469,*,Pamidronate Disodium,breast cancer,,,,,,
470,*,Panitumumab,Colorectal cancer,VECTIBIX- panitumumab solution,"55513-954-01, 55513-954-21, 55513-956-01, 55513-956-21",,,,
471,*,Pazopanib Hydrochloride,Renal cell carcinoma,"VOTRIENT- pazopanib hydrochloride tablet, film coated",0078-1077-66,,,,Yes
472,*,Pazopanib Hydrochloride,Soft tissue sarcoma,"VOTRIENT- pazopanib hydrochloride tablet, film coated",0078-1077-66,,,,Yes
473,*,Pegaspargase,Acute lymphoblastic leukemia,,,,,,
474,*,Pegfilgrastim,Neutropenia,NEULASTA- pegfilgrastim kit,"55513-099-01, 55513-190-01, 55513-192-01",,,,
475,*,Pembrolizumab,Cutaneous squamous cell carcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes
476,*,Pembrolizumab,Primary mediastinal large B-cell lymphoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,
477,*,Pembrolizumab,Urothelial carcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,
478,*,Pembrolizumab,Classic Hodgkin lymphoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,
479,*,Pembrolizumab,Melanoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes
480,*,Pembrolizumab,Microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR) cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,
481,PD-L1,Pembrolizumab,Breast cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes
482,*,Pembrolizumab,Malignant pleural mesothelioma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,Yes,,Yes
483,*,Pembrolizumab,gastroesophageal junction adenocarcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,
484,*,Pembrolizumab,Endometrial carcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes
485,*,Pembrolizumab,Merkel cell carcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes
486,*,Pembrolizumab, gastroesophageal junction cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,
487,*,Pembrolizumab,Squamous cell carcinoma of the head and neck,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,
488,PD-L1,Pembrolizumab,Cervical cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes
489,"PD-L1, CPS ≥ 1",Pembrolizumab,Esophageal,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes
490,*,Pembrolizumab,Solid tumors,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,
491,"PD-L1, EGFR, ALK",Pembrolizumab,Non-small cell lung cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,Yes,,Yes
492,*,Pembrolizumab,Biliary tract cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes
493,*,Pembrolizumab,Gastric (stomach) cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,
494,*,Pembrolizumab,Renal cell carcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,Yes,,Yes
495,*,Pembrolizumab,Hepatocellular carcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,
496,*,Pemetrexed Disodium,Nonsquamous non-small cell lung cancer,"ALIMTA- pemetrexed disodium injection, powder, lyophilized, for solution","0002-7623-01, 0002-7640-01",,,,
497,*,Pemetrexed Disodium,Malignant pleural mesothelioma,"ALIMTA- pemetrexed disodium injection, powder, lyophilized, for solution","0002-7623-01, 0002-7640-01",,,,
498,"FGFR2, fibroblast growth factor receptor 2, PEMAZYRE",Pemigatinib,Cholangiocarcinoma,PEMAZYRE- pemigatinib tablet,"50881-026-01, 50881-027-01, 50881-028-01",,,Yes,Yes
499,*,Pemigatinib,Myeloid,PEMAZYRE- pemigatinib tablet,"50881-026-01, 50881-027-01, 50881-028-01",,,,
500,*,Pemigatinib,lymphoid,PEMAZYRE- pemigatinib tablet,"50881-026-01, 50881-027-01, 50881-028-01",,,,
501,*,Penpulimab-kcqx,Nasopharyngeal carcinoma,PENPULIMAB KCQX- penpulimab injection,83654-105-01,,,,
502,*,Pertuzumab,Breast cancer,"PERJETA- pertuzumab injection, solution, concentrate",50242-145-01,,,,Yes
503,*,"Pertuzumab, Trastuzumab, and Hyaluronidase-zzxf",Breast cancer,"PHESGO- pertuzumab, trastuzumab, and hyaluronidase-zzxf injection, solution","50242-245-01, 50242-245-86, 50242-260-01, 50242-260-86",,,,Yes
504,*,Pexidartinib Hydrochloride,Tenosynovial giant cell tumor,,,,,,
505,*,Pirtobrutinib,Chronic lymphocytic leukemia  or small lymphocytic lymphoma,"JAYPIRCA- pirtobrutinib tablet, coated","0002-6902-30, 0002-7026-60, 0002-7026-99",,,,
506,BTK,Pirtobrutinib,Mantle cell lymphoma,"JAYPIRCA- pirtobrutinib tablet, coated","0002-6902-30, 0002-7026-60, 0002-7026-99",,,Yes,
507,*,Plerixafor,Multiple myeloma,,,,,,
508,*,Plerixafor,Non-Hodgkin lymphoma,,,,,,
509,*,Polatuzumab Vedotin-piiq,Diffuse large B-cell lymphoma (DLBCL),"POLIVY- polatuzumab vedotin injection, powder, lyophilized, for solution","50242-103-01, 50242-105-01",,,,
510,*,Pomalidomide,Kaposi sarcoma,POMALYST- pomalidomide capsule,"59572-501-00, 59572-501-21, 59572-502-00, 59572-502-21, 59572-503-00, 59572-503-21, 59572-504-00, 59572-504-21",,,Yes,
511,*,Pomalidomide,Multiple myeloma,POMALYST- pomalidomide capsule,"59572-501-00, 59572-501-21, 59572-502-00, 59572-502-21, 59572-503-00, 59572-503-21, 59572-504-00, 59572-504-21",,,,
512,*,Pomalidomide,AIDS-related Kaposi sarcoma,POMALYST- pomalidomide capsule,"59572-501-00, 59572-501-21, 59572-502-00, 59572-502-21, 59572-503-00, 59572-503-21, 59572-504-00, 59572-504-21",,,,
513,*,Ponatinib Hydrochloride,Acute lymphoblastic leukemia,"ICLUSIG- ponatinib hydrochloride tablet, film coated","63020-533-30, 63020-534-30, 63020-535-30, 63020-535-60, 63020-536-30",,,,
514,*,Ponatinib Hydrochloride,Chronic myelogenous leukemia,"ICLUSIG- ponatinib hydrochloride tablet, film coated","63020-533-30, 63020-534-30, 63020-535-30, 63020-535-60, 63020-536-30",,,,
515,*,Pralatrexate,Peripheral T-cell lymphoma,,,,,,
516,*,Pralsetinib,Non-small cell lung cancer,,,,,,
517,*,Pralsetinib,Thyroid cancer,,,,,,
518,*,Prednisone,Acute lymphoblastic leukemia,,,,,,
519,*,Prednisone,Anemia,,,,,,
520,*,Prednisone,Thrombocytopenia,,,,,,
521,*,Prednisone,Hypercalcemia,,,,,,
522,*,Prednisone,Hodgkin lymphoma,,,,,,
523,*,Prednisone,Drug hypersensitivity,,,,,,
524,*,Prednisone,Chronic lymphocytic leukemia,,,,,,
525,*,Prednisone,acute myeloid leukemia,,,,,,
526,*,Prednisone,Non-Hodgkin lymphoma,,,,,,
527,*,Prednisone,Mycosis fungoides,,,,,,
528,*,Prednisone,chronic myelogenous leukemia,,,,,,
529,*,Procarbazine Hydrochloride,Hodgkin lymphoma,,,,,,
530,*,Propranolol Hydrochloride,Infantile hemangioma,,,,,,
531,*,Quizartinib Dihydrochloride,Acute myeloid leukemia,"VANFLYTA- quizartinib tablet, film coated","65597-504-04, 65597-504-28, 65597-511-04, 65597-511-28",,,,
532,*,Radium 223 Dichloride,Prostate cancer,XOFIGO- radium ra 223 dichloride injection,50419-208-01,,,,
533,*,Raloxifene Hydrochloride,Osteoporosis,,,,,,
534,*,Raloxifene Hydrochloride,Breast cancer,,,,,,
535,*,Ramucirumab,gastroesophageal junction adenocarcinoma,CYRAMZA- ramucirumab solution,"0002-7669-01, 0002-7678-01",,,,
536,*,Ramucirumab,Stomach adenocarcinoma,CYRAMZA- ramucirumab solution,"0002-7669-01, 0002-7678-01",,,,
537,"EGFR, ALK, epidermal growth factor receptor",Ramucirumab,Non-small cell lung cancer,CYRAMZA- ramucirumab solution,"0002-7669-01, 0002-7678-01",,Yes,,Yes
538,*,Ramucirumab,Colorectal cancer,CYRAMZA- ramucirumab solution,"0002-7669-01, 0002-7678-01",,,,Yes
539,AFP,Ramucirumab,Hepatocellular carcinoma,CYRAMZA- ramucirumab solution,"0002-7669-01, 0002-7678-01",,,,
540,*,Rasburicase,Tumor lysis syndrome,ELITEK- rasburicase kit,"0024-5150-10, 0024-5151-75, 0024-5152-11, 0024-5153-74, 0024-5154-11, 0024-5155-74",,,,
541,*,Rasburicase,High levels of uric acid in the blood,ELITEK- rasburicase kit,"0024-5150-10, 0024-5151-75, 0024-5152-11, 0024-5153-74, 0024-5154-11, 0024-5155-74",,,,
542,Shiga toxin,Ravulizumab-cwvz,Atypical hemolytic uremic syndrome,"ULTOMIRIS- ravulizumab solution, concentrate","25682-022-01, 25682-025-01, 25682-028-01",,,,
543,*,Ravulizumab-cwvz,Paroxysmal nocturnal hemoglobinuria,"ULTOMIRIS- ravulizumab solution, concentrate","25682-022-01, 25682-025-01, 25682-028-01",,,,
544,*,Recombinant Human Papillomavirus (HPV) Nonavalent Vaccine,Cervical cancer,"GARDASIL 9- human papillomavirus 9-valent vaccine, recombinant injection, suspension","0006-4119-01, 0006-4119-03, 0006-4121-01, 0006-4121-02",,,,
545,*,Recombinant Human Papillomavirus (HPV) Nonavalent Vaccine,Vaginal cancer,"GARDASIL 9- human papillomavirus 9-valent vaccine, recombinant injection, suspension","0006-4119-01, 0006-4119-03, 0006-4121-01, 0006-4121-02",,,,
546,*,Recombinant Human Papillomavirus (HPV) Nonavalent Vaccine,Lesions,"GARDASIL 9- human papillomavirus 9-valent vaccine, recombinant injection, suspension","0006-4119-01, 0006-4119-03, 0006-4121-01, 0006-4121-02",,,,
547,*,Recombinant Human Papillomavirus (HPV) Nonavalent Vaccine,Anal cancer,"GARDASIL 9- human papillomavirus 9-valent vaccine, recombinant injection, suspension","0006-4119-01, 0006-4119-03, 0006-4121-01, 0006-4121-02",,,,
548,*,Recombinant Human Papillomavirus (HPV) Nonavalent Vaccine,Vulvar cancer,"GARDASIL 9- human papillomavirus 9-valent vaccine, recombinant injection, suspension","0006-4119-01, 0006-4119-03, 0006-4121-01, 0006-4121-02",,,,
549,*,Recombinant Human Papillomavirus (HPV) Nonavalent Vaccine,Head and neck cancer,"GARDASIL 9- human papillomavirus 9-valent vaccine, recombinant injection, suspension","0006-4119-01, 0006-4119-03, 0006-4121-01, 0006-4121-02",,,,
550,*,Recombinant Human Papillomavirus (HPV) Nonavalent Vaccine,Genital warts,"GARDASIL 9- human papillomavirus 9-valent vaccine, recombinant injection, suspension","0006-4119-01, 0006-4119-03, 0006-4121-01, 0006-4121-02",,,,
551,*,Recombinant Human Papillomavirus (HPV) Quadrivalent Vaccine,Cervical cancer,,,,,,
552,*,Recombinant Human Papillomavirus (HPV) Quadrivalent Vaccine,Lesions,,,,,,
553,*,Recombinant Human Papillomavirus (HPV) Quadrivalent Vaccine,Vaginal cancer,,,,,,
554,*,Recombinant Human Papillomavirus (HPV) Quadrivalent Vaccine,Anal cancer,,,,,,
555,*,Recombinant Human Papillomavirus (HPV) Quadrivalent Vaccine,Vulvar cancer,,,,,,
556,*,Recombinant Human Papillomavirus (HPV) Quadrivalent Vaccine,Genital warts,,,,,,
557,*,Recombinant Interferon Alfa-2b,Melanoma,,,,,,
558,*,Recombinant Interferon Alfa-2b,Hairy cell leukemia,,,,,,
559,*,Recombinant Interferon Alfa-2b,AIDS-related Kaposi sarcoma,,,,,,
560,*,Recombinant Interferon Alfa-2b,Genital warts,,,,,,
561,*,Recombinant Interferon Alfa-2b,Follicular lymphoma,,,,,,
562,STIVARGA,Regorafenib,Gastrointestinal stromal tumor,"STIVARGA- regorafenib tablet, film coated","50419-171-00, 50419-171-01, 50419-171-03, 50419-171-04, 50419-171-05, 50419-171-06",,,,Yes
563,"STIVARGA, anti-VEGF",Regorafenib,Colorectal cancer,"STIVARGA- regorafenib tablet, film coated","50419-171-00, 50419-171-01, 50419-171-03, 50419-171-04, 50419-171-05, 50419-171-06",,,,Yes
564,STIVARGA,Regorafenib,Hepatocellular carcinoma,"STIVARGA- regorafenib tablet, film coated","50419-171-00, 50419-171-01, 50419-171-03, 50419-171-04, 50419-171-05, 50419-171-06",,,,
565,*,Relugolix,Prostate cancer,"ORGOVYX- relugolix tablet, film coated","72974-120-01, 72974-120-95, 72974-120-97",,,,
566,*,Repotrectinib,Non-small cell lung cancer,AUGTYRO- repotrectinib capsule,"0003-4040-12, 0003-4040-60, 0003-4160-14, 0003-4160-60",,,,
567,*,Repotrectinib,Solid tumors,AUGTYRO- repotrectinib capsule,"0003-4040-12, 0003-4040-60, 0003-4160-14, 0003-4160-60",,,,
568,*,Retifanlimab-dlwr,Merkel cell carcinoma,ZYNYZ- retifanlimab-dlwr injection,50881-006-03,,,,Yes
569,*,Revumenib Citrate,acute leukemia,"REVUFORJ- revumenib tablet, film coated","73555-500-00, 73555-501-00, 73555-502-00",,,,
570,*,Ribociclib Succinate,breast cancer,"KISQALI- ribociclib tablet, film coated","0078-0860-01, 0078-0867-14, 0078-0867-42, 0078-0874-21, 0078-0874-63",,,,
571,*,Ribociclib Succinate and Letrozole,breast cancer,KISQALI FEMARA CO-PACK- letrozole and ribociclib kit,"0078-0881-50, 0078-0888-21, 0078-0895-14, 0078-0902-21, 0078-0909-61, 0078-0916-61, 0078-0923-61",,,,Yes
572,*,Ripretinib,Gastrointestinal stromal tumor,QINLOCK- ripretinib tablet,"73207-101-30, 73207-101-31",,,,
573,*,Rituximab,Chronic lymphocytic leukemia,"RITUXAN- rituximab injection, solution","50242-051-10, 50242-051-21, 50242-053-06",,Yes,,
574,*,Rituximab,B-cell non-Hodgkin lymphoma,"RITUXAN- rituximab injection, solution","50242-051-10, 50242-051-21, 50242-053-06",,,,
575,*,Rituximab,B-cell acute leukemia,"RITUXAN- rituximab injection, solution","50242-051-10, 50242-051-21, 50242-053-06",,,,
576,*,Rituximab and Hyaluronidase Human,Chronic lymphocytic leukemia,"RITUXAN HYCELA- rituximab and hyaluronidase injection, solution","50242-108-01, 50242-108-86, 50242-109-01",,Yes,,
577,*,Rituximab and Hyaluronidase Human,Diffuse large B-cell lymphoma,"RITUXAN HYCELA- rituximab and hyaluronidase injection, solution","50242-108-01, 50242-108-86, 50242-109-01",,Yes,,
578,*,Rituximab and Hyaluronidase Human,Follicular lymphoma,"RITUXAN HYCELA- rituximab and hyaluronidase injection, solution","50242-108-01, 50242-108-86, 50242-109-01",,Yes,,
579,*,Rolapitant Hydrochloride,Nausea,,,,,,
580,*,Rolapitant Hydrochloride,vomiting,,,,,,
581,*,Romidepsin,Cutaneous T-cell lymphoma,,,,,,
582,*,Romiplostim,Thrombocytopenia,"NPLATE- romiplostim injection, powder, lyophilized, for solution","55513-221-01, 55513-221-21, 55513-222-01, 55513-222-21, 55513-223-01, 55513-223-21",,,,
583,*,Ropeginterferon Alfa-2b-njft,Polycythemia vera,BESREMI- ropeginterferon alfa-2b injection,73536-500-01,,,,
584,*,Rucaparib Camsylate,Prostate cancer,,,,,,
585,*,Rucaparib Camsylate,Ovarian epithelial,,,,,,
586,*,Rucaparib Camsylate,primary peritoneal cancer,,,,,,
587,*,Rucaparib Camsylate,fallopian tube,,,,,,
588,*,Ruxolitinib Phosphate,polycythemia vera,JAKAFI- ruxolitinib tablet,"50881-005-60, 50881-010-01, 50881-010-60, 50881-015-60, 50881-020-60, 50881-025-60",,,,
589,MF,Ruxolitinib Phosphate,myelofibrosis,JAKAFI- ruxolitinib tablet,"50881-005-60, 50881-010-01, 50881-010-60, 50881-015-60, 50881-020-60, 50881-025-60",,,,
590,TRODELVY,Sacituzumab Govitecan-hziy,breast cancer,"TRODELVY- sacituzumab govitecan powder, for solution",55135-132-01,,,,Yes
591,*,Selinexor,Multiple myeloma,"XPOVIO- selinexor tablet, film coated","72237-101-03, 72237-101-04, 72237-101-13, 72237-101-14, 72237-102-02, 72237-102-06, 72237-102-07, 72237-102-12, 72237-102-16, 72237-102-17, 72237-103-05, 72237-103-15, 72237-104-01, 72237-104-11, 72237-105-01, 72237-105-11, 72237-106-01, 72237-106-11",,,,
592,*,Selinexor,Diffuse large B-cell lymphoma,"XPOVIO- selinexor tablet, film coated","72237-101-03, 72237-101-04, 72237-101-13, 72237-101-14, 72237-102-02, 72237-102-06, 72237-102-07, 72237-102-12, 72237-102-16, 72237-102-17, 72237-103-05, 72237-103-15, 72237-104-01, 72237-104-11, 72237-105-01, 72237-105-11, 72237-106-01, 72237-106-11",,,Yes,
593,*,Selpercatinib,Non-small cell lung cancer,RETEVMO- selpercatinib capsule,"0002-2980-26, 0002-2980-60, 0002-3977-60, 0002-5340-60, 0002-5562-60, 0002-6082-60, 0002-6120-60",,,,
594,*,Selpercatinib,Thyroid cancer,RETEVMO- selpercatinib capsule,"0002-2980-26, 0002-2980-60, 0002-3977-60, 0002-5340-60, 0002-5562-60, 0002-6082-60, 0002-6120-60",,,,
595,*,Selpercatinib,Solid tumors,RETEVMO- selpercatinib capsule,"0002-2980-26, 0002-2980-60, 0002-3977-60, 0002-5340-60, 0002-5562-60, 0002-6082-60, 0002-6120-60",,,,
596,*,Selpercatinib,Medullary thyroid cancer,RETEVMO- selpercatinib capsule,"0002-2980-26, 0002-2980-60, 0002-3977-60, 0002-5340-60, 0002-5562-60, 0002-6082-60, 0002-6120-60",,,,
597,*,Selumetinib Sulfate,Neurofibromatosis type 1,KOSELUGO- selumetinib capsule,"0310-0610-28, 0310-0610-60, 0310-0625-28, 0310-0625-60, 0310-0635-60, 0310-0640-60",,,,
598,*,Siltuximab,Multicentric Castleman disease,,,,,,
599,*,Sipuleucel-T,Prostate cancer,PROVENGE- sipuleucel-t injection,"30237-8900-5, 30237-8900-6",,,,
600,*,Sirolimus Protein-Bound Particles,Perivascular epithelioid cell tumors,"FYARRO- sirolimus injection, powder, lyophilized, for suspension",80803-153-50,,,,
601,*,Sonidegib,Basal cell carcinoma,ODOMZO- sonidegib capsule,"47335-303-15, 47335-303-83",,,,
602,*,Sorafenib Tosylate,Renal cell carcinoma,"NEXAVAR- sorafenib tablet, film coated","50419-488-58, 50419-489-01",,,,Yes
603,*,Sorafenib Tosylate,Thyroid cancer,"NEXAVAR- sorafenib tablet, film coated","50419-488-58, 50419-489-01",,,,
604,*,Sorafenib Tosylate,Hepatocellular carcinoma,"NEXAVAR- sorafenib tablet, film coated","50419-488-58, 50419-489-01",,,,
605,KRAS,Sotorasib,non-small cell lung cancer,"LUMAKRAS- sotorasib tablet, coated","55513-488-01, 55513-488-02, 55513-488-24, 55513-488-40, 55513-488-96, 55513-504-50, 55513-512-60",,,Yes,Yes
606,KRAS,Sotorasib,colorectal cancer,"LUMAKRAS- sotorasib tablet, coated","55513-488-01, 55513-488-02, 55513-488-24, 55513-488-40, 55513-488-96, 55513-504-50, 55513-512-60",,,,Yes
607,*,Sunitinib Malate,Gastrointestinal stromal tumor,SUTENT- sunitinib malate capsule,"0069-0550-38, 0069-0770-38, 0069-0830-38, 0069-0980-38",,,,
608,*,Sunitinib Malate,Renal cell carcinoma,SUTENT- sunitinib malate capsule,"0069-0550-38, 0069-0770-38, 0069-0830-38, 0069-0980-38",,,,Yes
609,*,Sunitinib Malate,Pancreatic neuroendocrine tumor,SUTENT- sunitinib malate capsule,"0069-0550-38, 0069-0770-38, 0069-0830-38, 0069-0980-38",,,,Yes
610,*,Tafasitamab-cxix,Diffuse large B-cell lymphoma,"MONJUVI- tafasitamab-cxix injection, powder, lyophilized, for solution",73535-208-01,,,,
611,*,Tagraxofusp-erzs,Blastic plasmacytoid dendritic cell neoplasm,"ELZONRIS- tagraxofusp injection, solution",72187-0401-1,,,,
612,*,Talazoparib Tosylate,Prostate cancer,TALZENNA- talazoparib capsule,"0069-0296-30, 0069-1031-30, 0069-1195-30, 0069-1235-30, 0069-1501-30, 0069-1751-30",,,,Yes
613,*,Talazoparib Tosylate,Breast cancer,TALZENNA- talazoparib capsule,"0069-0296-30, 0069-1031-30, 0069-1195-30, 0069-1235-30, 0069-1501-30, 0069-1751-30",,,,
614,*,Talc,Malignant pleural effusions,"SCLEROSOL- talc aerosol, powder",63256-100-30,,,,
615,*,Talimogene Laherparepvec,Melanoma,"IMLYGIC- talimogene laherparepvec injection, suspension","55513-078-01, 55513-079-01",,,,
616,*,Talquetamab-tgvs,multiple myeloma,TALVEY- talquetamab injection,"57894-469-01, 57894-470-01",,,,
617,*,Tamoxifen Citrate,Ductal carcinoma in situ,,,,,,
618,*,Tamoxifen Citrate,Breast cancer,,,,,,
619,*,Tarlatamab-dlle,Small cell lung cancer,IMDELLTRA (AMG757)- tarlatamab-dlle kit,"55513-059-01, 55513-068-01, 55513-069-01, 55513-077-01, 55513-103-01",,,,
620,*,Tazemetostat Hydrobromide,Epithelioid sarcoma,"TAZVERIK- tazemetostat tablet, film coated",72607-100-00,,,Yes,Yes
621,"EZH2, FL",Tazemetostat Hydrobromide,Follicular lymphoma,"TAZVERIK- tazemetostat tablet, film coated",72607-100-00,,,Yes,
622,*,Tebentafusp-tebn,uveal melanoma,"KIMMTRAK- tebentafusp injection, solution, concentrate",80446-401-01,,,,
623,*,Teclistamab-cqyv,Multiple myeloma,TECVAYLI- teclistamab-cqyv injection,"57894-449-01, 57894-450-01",,,,
624,*,Temozolomide,Anaplastic astrocytoma,,,,,,
625,*,Temozolomide,Glioblastoma multiforme,,,,,,
626,*,Temsirolimus,Renal cell carcinoma,TORISEL- temsirolimus kit,"0008-1125-01, 0008-1179-01, 0008-1279-01",,,,
627,*,Tepotinib Hydrochloride,Non-small cell lung cancer,TEPMETKO- tepotinib hydrochloride tablet,"44087-5000-3, 44087-5000-6",,,,
628,*,Thalidomide,Multiple myeloma,THALOMID- thalidomide capsule,"59572-205-14, 59572-205-17, 59572-205-94, 59572-205-97, 59572-210-15, 59572-210-95, 59572-215-13, 59572-215-93, 59572-220-16, 59572-220-96",,,,
629,*,Thioguanine,Acute myeloid leukemia,,,,,,
630,*,Thiotepa,malignant peritoneal effusion,,,,,,
