therapy_label,disease_label,drug_label,geneProtein_label,metastatic,firstLine,acceleratedApproval,negGeProDr_label
Enasidenib Mesylate,Acute myeloid leukemia,"IDHIFA- enasidenib mesylate tablet, film coated","isocitrate dehydrogenase-2, IDH2",,,,
Imatinib Mesylate,Systemic mastocytosis,GLEEVEC- imatinib mesylate tablet,c-Kit,,,,
Imatinib Mesylate,hypereosinophilic syndrome,GLEEVEC- imatinib mesylate tablet,"CHIC2, FIP1L1-PDGFRα, HES, FIP1L1-PDGFRα fusion kinase",,,,
Imatinib Mesylate,Gastrointestinal stromal tumor,GLEEVEC- imatinib mesylate tablet,CD117,Yes,,,
Imatinib Mesylate,Dermatofibrosarcoma protuberans,GLEEVEC- imatinib mesylate tablet,*,Yes,,,
Imatinib Mesylate,Chronic eosinophilic leukemia,GLEEVEC- imatinib mesylate tablet,"CHIC2, FIP1L1-PDGFRα, HES, FIP1L1-PDGFRα fusion kinase",,,,
Imatinib Mesylate,Acute lymphoblastic leukemia,GLEEVEC- imatinib mesylate tablet,Philadelphia,,,,
Durvalumab,hepatocellular carcinoma,"IMFINZI- durvalumab injection, solution",IMFINZI,,,,
Durvalumab,bladder cancer,"IMFINZI- durvalumab injection, solution",IMFINZI,,,,
Durvalumab,non-small cell lung cancer,"IMFINZI- durvalumab injection, solution","EGFR, ALK, epidermal growth factor receptor, IMFINZI",Yes,,,
Durvalumab,endometrial cancer,"IMFINZI- durvalumab injection, solution",IMFINZI,Yes,,,
Durvalumab,biliary tract cancer,"IMFINZI- durvalumab injection, solution",IMFINZI,Yes,,,
Durvalumab,small cell lung cancer,"IMFINZI- durvalumab injection, solution","EGFR, ALK, epidermal growth factor receptor, IMFINZI",Yes,Yes,,
Tremelimumab-actl,Hepatocellular carcinoma,"IMJUDO- tremelimumab injection, solution",*,,,,
Tremelimumab-actl,Non-small cell lung cancer,"IMJUDO- tremelimumab injection, solution","EGFR, ALK, epidermal growth factor receptor",Yes,,,
Imatinib Mesylate,Systemic mastocytosis,GLEEVEC- imatinib mesylate tablet,c-Kit,,,,
Imatinib Mesylate,hypereosinophilic syndrome,GLEEVEC- imatinib mesylate tablet,"CHIC2, FIP1L1-PDGFRα, HES, FIP1L1-PDGFRα fusion kinase",,,,
Imatinib Mesylate,Gastrointestinal stromal tumor,GLEEVEC- imatinib mesylate tablet,CD117,Yes,,,
Imatinib Mesylate,Dermatofibrosarcoma protuberans,GLEEVEC- imatinib mesylate tablet,*,Yes,,,
Imatinib Mesylate,Chronic eosinophilic leukemia,GLEEVEC- imatinib mesylate tablet,"CHIC2, FIP1L1-PDGFRα, HES, FIP1L1-PDGFRα fusion kinase",,,,
Imatinib Mesylate,Acute lymphoblastic leukemia,GLEEVEC- imatinib mesylate tablet,Philadelphia,,,,
Ipilimumab,hepatocellular carcinoma,YERVOY- ipilimumab injection,*,Yes,Yes,,
Ipilimumab,non-small cell lung cancer,YERVOY- ipilimumab injection,"EGFR, ALK, PD-L1",Yes,Yes,,
Ipilimumab,melanoma,YERVOY- ipilimumab injection,*,Yes,,,
Ipilimumab,colorectal cancer,YERVOY- ipilimumab injection,*,Yes,,,
Ipilimumab,renal cell carcinoma,YERVOY- ipilimumab injection,*,Yes,Yes,,
Ipilimumab,malignant pleural mesothelioma,YERVOY- ipilimumab injection,*,,Yes,,
Ipilimumab,esophageal cancer,YERVOY- ipilimumab injection,PD-L1,Yes,Yes,,
Ruxolitinib Phosphate,myelofibrosis,JAKAFI- ruxolitinib tablet,MF,,,,
Ruxolitinib Phosphate,polycythemia vera,JAKAFI- ruxolitinib tablet,*,,,,
Pirtobrutinib,Mantle cell lymphoma,"JAYPIRCA- pirtobrutinib tablet, coated",BTK,,,Yes,
Dostarlimab-gxly,endometrial cancer,JEMPERLI- dostarlimab injection,*,Yes,,,
Dostarlimab-gxly,solid tumors,JEMPERLI- dostarlimab injection,*,Yes,,Yes,
Ado-Trastuzumab Emtansine,Breast cancer,"KADCYLA- ado-trastuzumab emtansine injection, powder, lyophilized, for solution",*,Yes,,,
Pembrolizumab,Hepatocellular carcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution",*,,,,
Pembrolizumab,Non-small cell lung cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","EGFR, ALK, PD-L1",Yes,Yes,,
Pembrolizumab,Malignant pleural mesothelioma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution",*,Yes,Yes,,
Pembrolizumab,Renal cell carcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution",*,Yes,Yes,,
Pembrolizumab,Cutaneous squamous cell carcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution",*,Yes,,,
Pembrolizumab,Merkel cell carcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution",*,Yes,,,
Pembrolizumab,Endometrial carcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution",*,Yes,,,
Pembrolizumab,Primary mediastinal large B-cell lymphoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution",*,,,,
Pembrolizumab,Cervical cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution",PD-L1,Yes,,,
Pembrolizumab,Biliary tract cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution",*,Yes,,,
Pembrolizumab,Melanoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution",*,Yes,,,
Pembrolizumab,Breast cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution",PD-L1,Yes,,,
Pembrolizumab,Esophageal,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","CPS ≥ 1, PD-L1",Yes,,,
Ribociclib Succinate and Letrozole,breast cancer,KISQALI FEMARA CO-PACK- letrozole and ribociclib kit,*,Yes,,,
Adagrasib,Colorectal cancer,"KRAZATI- adagrasib tablet, coated","KRAS, DOR [",Yes,,Yes,
Adagrasib,Non-small cell lung cancer,"KRAZATI- adagrasib tablet, coated",KRAS,Yes,,Yes,
